,year,genre,popularity,popularity_smoothed
645,1832,romance,,
646,1833,romance,27.27272727272727,
647,1834,romance,0.0,
648,1835,romance,7.6923076923076925,
649,1836,romance,,
650,1838,romance,0.0,
651,1839,romance,,
652,1842,romance,,
653,1845,romance,33.33333333333333,
654,1846,romance,50.0,
655,1847,romance,0.0,
656,1848,romance,18.181818181818183,14.502164502164502
657,1852,romance,0.0,9.740259740259742
658,1853,romance,0.0,
659,1855,romance,0.0,
660,1856,romance,0.0,
661,1857,romance,,
662,1858,romance,33.33333333333333,
663,1859,romance,0.0,
664,1860,romance,0.0,
665,1861,romance,0.0,4.761904761904761
666,1862,romance,0.0,0.0
667,1864,romance,0.0,0.0
668,1865,romance,0.0,0.0
669,1869,romance,0.0,0.0
670,1873,romance,0.0,0.0
671,1876,romance,0.0,2.3809523809523805
672,1877,romance,0.0,6.666666666666666
673,1880,romance,0.0,6.666666666666666
674,1881,romance,16.666666666666664,8.095238095238095
675,1882,romance,30.0,8.095238095238095
676,1883,romance,0.0,10.692640692640692
677,1884,romance,10.0,13.073593073593074
678,1885,romance,0.0,14.264069264069263
679,1886,romance,18.181818181818183,9.978354978354977
680,1887,romance,16.666666666666664,9.978354978354977
681,1889,romance,25.0,10.590599876314162
682,1890,romance,0.0,10.590599876314162
683,1891,romance,0.0,
684,1892,romance,14.285714285714285,
685,1893,romance,0.0,
686,1894,romance,,
687,1895,romance,14.285714285714285,
688,1896,romance,0.0,
689,1897,romance,11.11111111111111,
690,1898,romance,10.0,
691,1899,romance,0.0,
692,1900,romance,,
693,1901,romance,,
694,1902,romance,0.0,
695,1903,romance,25.0,
696,1904,romance,50.0,
697,1905,romance,14.285714285714285,
698,1906,romance,25.0,
699,1907,romance,,
700,1908,romance,0.0,
701,1909,romance,20.0,
702,1910,romance,0.0,
703,1911,romance,16.666666666666664,7.27891156462585
704,1912,romance,14.285714285714285,7.27891156462585
705,1913,romance,0.0,4.421768707482992
706,1914,romance,0.0,4.421768707482992
707,1915,romance,0.0,4.638218923933209
708,1918,romance,0.0,
709,1921,romance,0.0,
710,1923,romance,18.181818181818183,
711,1816,drama,,
712,1817,drama,,
713,1818,drama,,
714,1819,drama,,
715,1822,drama,0.0,
716,1824,drama,,
717,1825,drama,,
718,1826,drama,,
719,1827,drama,,
720,1828,drama,0.0,
721,1829,drama,,
722,1830,drama,12.5,
723,1831,drama,0.0,
724,1832,drama,,
725,1833,drama,9.090909090909092,
726,1834,drama,0.0,
727,1835,drama,7.6923076923076925,
728,1836,drama,,
729,1838,drama,0.0,
730,1839,drama,,
731,1842,drama,,
732,1845,drama,33.33333333333333,
733,1846,drama,0.0,
734,1847,drama,16.666666666666664,
735,1848,drama,18.181818181818183,20.454545454545457
736,1852,drama,50.0,29.97835497835498
737,1853,drama,0.0,
738,1855,drama,25.0,
739,1856,drama,100.0,
740,1857,drama,,
741,1858,drama,33.33333333333333,
742,1859,drama,0.0,
743,1860,drama,28.57142857142857,
744,1861,drama,0.0,8.843537414965985
745,1862,drama,0.0,4.081632653061225
746,1864,drama,0.0,4.081632653061225
747,1865,drama,0.0,0.0
748,1869,drama,0.0,0.0
749,1873,drama,0.0,0.0
750,1876,drama,0.0,0.0
751,1877,drama,0.0,2.857142857142857
752,1880,drama,0.0,5.714285714285714
753,1881,drama,0.0,7.142857142857143
754,1882,drama,20.0,7.142857142857143
755,1883,drama,20.0,9.740259740259742
756,1884,drama,10.0,12.121212121212121
757,1885,drama,0.0,12.121212121212121
758,1886,drama,18.181818181818183,9.264069264069263
759,1887,drama,16.666666666666664,13.54978354978355
760,1889,drama,0.0,14.162028447742731
761,1890,drama,0.0,21.304885590599874
762,1891,drama,50.0,
763,1892,drama,14.285714285714285,
764,1893,drama,50.0,
765,1894,drama,,
766,1895,drama,19.047619047619047,
767,1896,drama,0.0,
768,1897,drama,11.11111111111111,
769,1898,drama,20.0,
770,1899,drama,0.0,
771,1900,drama,,
772,1901,drama,,
773,1902,drama,25.0,
774,1903,drama,25.0,
775,1904,drama,0.0,
776,1905,drama,14.285714285714285,
777,1906,drama,25.0,
778,1907,drama,,
779,1908,drama,25.0,
780,1909,drama,20.0,
781,1910,drama,0.0,
782,1911,drama,16.666666666666664,12.891156462585034
783,1912,drama,28.57142857142857,14.081632653061224
784,1913,drama,0.0,11.224489795918368
785,1914,drama,0.0,25.51020408163265
786,1915,drama,33.33333333333333,25.72665429808287
787,1918,drama,0.0,
788,1921,drama,100.0,
789,1923,drama,18.181818181818183,
